あだ名,あだな
泣かせな,なか
泣かせず,なか
泣かせて,なか
泣かせよ,なか
泣かせら,なか
泣かせさ,なか
泣かせろ,なか
泣き,なき
泣きじゃくり,なきじゃく
泣きじゃくる,なきじゃく
泣きじゃくった,なきじゃく
泣きじゃくら,なきじゃく
泣きじゃくって,なきじゃく
泣きじゃくろ,なきじゃく
泣きじゃくれ,なきじゃく
泣きじゃくら,なきじゃく
泣き,な
泣く,な
泣い,な
泣か,な
泣おう,な
泣け,な
泣え,な
泥々,どろどろ
泥棒,どろぼう
泥酔,でいすい
注ぎ,そそ
注ぐ,そそ
注い,そそ
注が,そそ
注お,そそ
注げ,そそ
注え,そそ
注ぎ,そそ
注ぐ,そそ
注い,そそ
注が,そそ
注お,そそ
注げ,そそ
注え,そそ
注し,さ
注す,さ
注さ,さ
注そ,さ
注せ,さ
注入,ちゅうにゅう
注射,ちゅうしゃ
注意,ちゅうい
注文,ちゅうもん
注目,ちゅうもく
注視,ちゅうし
注釈,ちゅうしゃく
泳ぎ,およ
泳ぐ,およ
泳い,およ
泳が,およ
泳お,およ
泳げ,およ
泳え,およ
洒落ま,しゃ
洒落る,しゃ
洒落た,しゃ
洒落な,しゃ
洒落ず,しゃ
洒落て,しゃ
洒落よ,しゃ
洒落ら,しゃ
洒落さ,しゃ
洒落ろ,しゃ
洗い,あら
洗う,あら
洗った,あら
洗わ,あら
洗って,あら
洗お,あら
洗え,あら
洗わ,あら
洗練,せんれん
洗脳,せんのう
洗車,せんしゃ
洗面,せんめん
洗顔,せんがん
洗髪,せんぱつ
洞察,どうさつ
活写,かっしゃ
活用,かつよう
活躍,かつやく
派兵,はへい
派生,はせい
派遣,はけん
流し,なが
流す,なが
流さ,なが
流そ,なが
流せ,なが
流れま,なが
流れる,なが
流れた,なが
流れな,なが
流れず,なが
流れて,なが
流れよ,なが
流れら,なが
流れさ,なが
流れろ,なが
流会,りゅうかい
流入,りゅうにゅう
流出,りゅうしゅつ
流動,りゅうどう
流失,りゅうしつ
流布,るふ
流浪,るろう
流産,りゅうざん
流用,りゅうよう
流血,りゅうけつ
流行,りゅうこう
流行り,はや
流行る,はや
流行った,はや
流行ら,はや
流行って,はや
流行ろ,はや
流行れ,はや
流行ら,はや
流転,るてん
流通,りゅうつう
浄化,じょうか
浚い,さら
浚う,さら
浚った,さら
浚わ,さら
浚って,さら
浚お,さら
浚え,さら
浚わ,さら
浪,ろう
浪人,ろうにん
浪費,ろうひ
浮かし,うか
浮かす,うか
浮かさ,うか
浮かそ,うか
浮かせ,うか
浮かび,うか
浮かぶ,うか
浮かん,うか
浮かば,うか
浮かぼ,うか
浮かべ,うか
浮かば,うか
浮かべ,うか
浮かべま,うか
浮かべる,うか
浮かべた,うか
浮かべな,うか
浮かべず,うか
浮かべて,うか
浮かべよ,うか
浮かべら,うか
浮かべさ,うか
浮かべろ,うか
浮かれま,うか
浮かれる,うか
浮かれた,うか
浮かれな,うか
浮かれず,うか
浮かれて,うか
浮かれよ,うか
浮かれら,うか
浮かれさ,うか
浮かれろ,うか
浮き,うき
浮き,う
浮く,う
浮い,う
浮か,う
浮おう,う
浮け,う
浮え,う
浮上,ふじょう
浮動,ふどう
浮揚,ふよう
浮気,うわき
浮沈,ふちん
浴びせま,あび
浴びせる,あび
浴びせた,あび
浴びせな,あび
浴びせず,あび
浴びせて,あび
浴びせよ,あび
浴びせら,あび
浴びせさ,あび
浴びせろ,あび
浴びま,あ
浴びる,あ
浴びた,あ
浴びな,あ
浴びず,あ
浴びて,あ
浴びよ,あ
浴びら,あ
浴びさ,あ
浴びろ,あ
浸かり,つか
浸かる,つか
浸かった,つか
浸から,つか
浸かって,つか
浸かろ,つか
浸かれ,つか
浸から,つか
浸し,ひた
浸す,ひた
浸さ,ひた
浸そ,ひた
浸せ,ひた
浸り,ひた
浸る,ひた
浸った,ひた
浸ら,ひた
浸って,ひた
浸ろ,ひた
浸れ,ひた
浸ら,ひた
浸水,しんすい
浸透,しんとう
浸食,しんしょく
消えま,き
消える,き
消えた,き
消えな,き
消えず,き
消えて,き
消えよ,き
消えら,き
消えさ,き
消えろ,き
消し,け
消す,け
消さ,け
消そ,け
消せ,け
消化,しょうか
消失,しょうしつ
消毒,しょうどく
消火,しょうか
消灯,しょうとう
消耗,しょうもう
消費,しょうひ
消長,しょうちょう
消音,しょうおん
涙ぐみ,なみだぐ
涙ぐむ,なみだぐ
涙ぐん,なみだぐ
涙ぐま,なみだぐ
涙ぐめ,なみだぐ
涙ぐな,なみだぐ
液化,えきか
液状化,えきじょうか
涼み,すず
涼む,すず
涼ん,すず
涼ま,すず
涼め,すず
涼な,すず
淀み,よど
淀む,よど
淀ん,よど
淀ま,よど
淀め,よど
淀な,よど
淘汰,とうた
深まり,ふかま
深まる,ふかま
深まった,ふかま
深まら,ふかま
深まって,ふかま
深まろ,ふかま
深まれ,ふかま
深まら,ふかま
深めま,ふか
深める,ふか
深めた,ふか
深めな,ふか
深めず,ふか
深めて,ふか
深めよ,ふか
深めら,ふか
深めさ,ふか
深めろ,ふか
深入り,ふかいり
深刻化,しんこくか
深化,しんか
深呼吸,しんこきゅう
深追い,ふかおい
混ざり,まざ
混ざる,まざ
混ざった,まざ
混ざら,まざ
混ざって,まざ
混ざろ,まざ
混ざれ,まざ
混ざら,まざ
混じり,まじ
混じる,まじ
混じった,まじ
混じら,まじ
混じって,まじ
混じろ,まじ
混じれ,まじ
混じら,まじ
混ぜま,ま
混ぜる,ま
混ぜた,ま
混ぜな,ま
混ぜず,ま
混ぜて,ま
混ぜよ,ま
混ぜら,ま
混ぜさ,ま
混ぜろ,ま
混み,こ
混む,こ
混ん,こ
混ま,こ
混め,こ
混な,こ
混乱,こんらん
混信,こんしん
混入,こんにゅう
混同,こんどう
混在,こんざい
混成,こんせい
混紡,こんぼう
混迷,こんめい
混雑,こんざつ
添い,そ
添う,そ
添った,そ
添わ,そ
添って,そ
添お,そ
添え,そ
添わ,そ
添えま,そえ
添える,そえ
添えた,そえ
添えな,そえ
添えず,そえ
添えて,そえ
添えよ,そえ
添えら,そえ
添えさ,そえ
添えろ,そえ
添乗,てんじょう
添付,てんぷ
添削,てんさく
添加,てんか
清掃,せいそう
清書,せいしょ
清算,せいさん
渇き,かわ
渇く,かわ
渇い,かわ
渇か,かわ
渇おう,かわ
渇け,かわ
渇え,かわ
渇望,かつぼう
渇水,かっすい
済まし,すま
済ます,すま
済まさ,すま
済まそ,すま
済ませ,すま
済ませま,すま
済ませる,すま
済ませた,すま
済ませな,すま
済ませず,すま
済ませて,すま
済ませよ,すま
済ませら,すま
済ませさ,すま
済ませろ,すま
済み,す
済む,す
済ん,す
済ま,す
済め,す
済な,す
渋り,しぶ
渋る,しぶ
渋った,しぶ
渋ら,しぶ
渋って,しぶ
渋ろ,しぶ
渋れ,しぶ
渋ら,しぶ
渋滞,じゅうたい
減らし,へら
減らす,へら
減らさ,へら
減らそ,へら
減らせ,へら
減り,へ
減る,へ
減った,へ
減ら,へ
減って,へ
減ろ,へ
減れ,へ
減ら,へ
減俸,げんぽう
減免,げんめん
減刑,げんけい
減反,げんたん
減収,げんしゅう
減員,げんいん
減圧,げんあつ
減少,げんしょう
減殺,げんさい
減水,げんすい
減産,げんさん
減税,げんぜい
減給,げんきゅう
減衰,げんすい
減退,げんたい
減速,げんそく
減配,げんぱい
減量,げんりょう
減額,げんがく
減食,げんしょく
渡し,わた
渡す,わた
渡さ,わた
渡そ,わた
渡せ,わた
渡り,わた
渡る,わた
渡った,わた
渡ら,わた
渡って,わた
渡ろ,わた
渡れ,わた
渡ら,わた
渡欧,とおう
渡米,とべい
渡航,とこう
渦巻き,うずま
渦巻く,うずま
渦巻い,うずま
渦巻か,うずま
渦巻おう,うずま
渦巻け,うずま
渦巻え,うずま
温まり,あたたま
温まる,あたたま
温まった,あたたま
温まら,あたたま
温まって,あたたま
温まろ,あたたま
温まれ,あたたま
温まら,あたたま
温めま,あたた
温める,あたた
温めた,あたた
温めな,あたた
温めず,あたた
温めて,あたた
温めよ,あたた
温めら,あたた
温めさ,あたた
温めろ,あたた
温存,おんぞん
測地,そくち
測定,そくてい
測量,そくりょう
湧き,わ
湧く,わ
湧い,わ
湧か,わ
湧おう,わ
湧け,わ
湧え,わ
湧出,ゆうしゅつ
湯治,とうじ
湾曲,わんきょく
湿り,しめ
湿る,しめ
湿った,しめ
湿ら,しめ
湿って,しめ
湿ろ,しめ
湿れ,しめ
湿ら,しめ
満たし,み
満たす,み
満たさ,み
満たそ,み
満たせ,み
満ちま,み
満ちる,み
満ちた,み
満ちな,み
満ちず,み
満ちて,み
満ちよ,み
満ちら,み
満ちさ,み
満ちろ,み
満了,まんりょう
満喫,まんきつ
満悦,まんえつ
満載,まんさい
満開,まんかい
準えま,なぞら
準える,なぞら
準えた,なぞら
準えな,なぞら
準えず,なぞら
準えて,なぞら
準えよ,なぞら
準えら,なぞら
準えさ,なぞら
準えろ,なぞら
準じる,じゅんじる
準ずま,じゅん
準ずる,じゅん
準ずた,じゅん
準ずな,じゅん
準ずず,じゅん
準ずて,じゅん
準ずよ,じゅん
準ずら,じゅん
準ずさ,じゅん
準ずろ,じゅん
準備,じゅんび
準拠,じゅんきょ
準用,じゅんよう
溜まり,たま
溜まる,たま
溜まった,たま
溜まら,たま
溜まって,たま
溜まろ,たま
溜まれ,たま
溜まら,たま
溜めま,た
溜める,た
溜めた,た
溜めな,た
溜めず,た
溜めて,た
溜めよ,た
溜めら,た
溜めさ,た
溜めろ,た
溢れま,あふ
溢れる,あふ
溢れた,あふ
溢れな,あふ
溢れず,あふ
溢れて,あふ
溢れよ,あふ
溢れら,あふ
溢れさ,あふ
溢れろ,あふ
溶かし,とか
溶かす,とか
溶かさ,とか
溶かそ,とか
溶かせ,とか
溶き,と
溶く,と
溶い,と
溶か,と
溶おう,と
溶け,と
溶え,と
溶けま,と
溶ける,と
溶けた,と
溶けな,と
溶けず,と
溶けて,と
溶けよ,と
溶けら,と
溶けさ,と
溶けろ,と
溶接,ようせつ
溶融,ようゆう
溶解,ようかい
溺れま,おぼ
溺れる,おぼ
溺れた,おぼ
溺れな,おぼ
溺れず,おぼ
溺れて,おぼ
溺れよ,おぼ
溺れら,おぼ
溺れさ,おぼ
溺れろ,おぼ
滅びま,ほろ
滅びる,ほろ
滅びた,ほろ
滅びな,ほろ
滅びず,ほろ
滅びて,ほろ
滅びよ,ほろ
滅びら,ほろ
滅びさ,ほろ
滅びろ,ほろ
滅ぼし,ほろぼ
滅ぼす,ほろぼ
滅ぼさ,ほろぼ
滅ぼそ,ほろぼ
滅ぼせ,ほろぼ
滅亡,めつぼう
滑り,すべ
滑る,すべ
滑った,すべ
滑ら,すべ
滑って,すべ
滑ろ,すべ
滑れ,すべ
滑ら,すべ
滑空,かっくう
滑落,かつらく
滑走,かっそう
滑降,かっこう
滞り,とどこお
滞る,とどこお
滞った,とどこお
滞ら,とどこお
滞って,とどこお
滞ろ,とどこお
滞れ,とどこお
滞ら,とどこお
滞在,たいざい
滞留,たいりゅう
滞納,たいのう
滲み,にじ
滲む,にじ
滲ん,にじ
滲ま,にじ
滲め,にじ
滲な,にじ
漁り,あさ
漁る,あさ
漁った,あさ
漁ら,あさ
漁って,あさ
漁ろ,あさ
漁れ,あさ
漁ら,あさ
漂い,ただよ
漂う,ただよ
漂った,ただよ
漂わ,ただよ
漂って,ただよ
漂お,ただよ
漂え,ただよ
漂わ,ただよ
漂泊,ひょうはく
漂流,ひょうりゅう
漂白,ひょうはく
漂着,ひょうちゃく
漏らし,もら
漏らす,もら
漏らさ,もら
漏らそ,もら
漏らせ,もら
漏り,も
漏る,も
漏った,も
漏ら,も
漏って,も
漏ろ,も
漏れ,も
漏ら,も
漏れま,も
漏れる,も
漏れた,も
漏れな,も
漏れず,も
漏れて,も
漏れよ,も
漏れら,も
漏れさ,も
漏れろ,も
漏出,ろうしゅつ
漏洩,ろうえい
演じる,えんじる
演ずま,えん
演ずる,えん
演ずた,えん
演ずな,えん
演ずず,えん
演ずて,えん
演ずよ,えん
演ずら,えん
演ずさ,えん
演ずろ,えん
演出,えんしゅつ
演奏,えんそう
演技,えんぎ
演算,えんざん
演習,えんしゅう
演説,えんぜつ
漕ぎ,こ
漕ぐ,こ
漕い,こ
漕が,こ
漕お,こ
漕げ,こ
漕え,こ
漬けま,つ
漬ける,つ
漬けた,つ
漬けな,つ
漬けず,つ
漬けて,つ
漬けよ,つ
漬けら,つ
漬けさ,つ
漬けろ,つ
漸減,ぜんげん
漸進,ぜんしん
潜み,ひそ
潜む,ひそ
潜ん,ひそ
潜ま,ひそ
潜め,ひそ
潜な,ひそ
潜り,くぐ
潜る,くぐ
潜った,くぐ
潜ら,くぐ
潜って,くぐ
潜ろ,くぐ
潜れ,くぐ
潜ら,くぐ
潜伏,せんぷく
潜入,せんにゅう
潜在,せんざい
潜水,せんすい
潜航,せんこう
潜行,せんこう
潤い,うるお
潤う,うるお
潤った,うるお
潤わ,うるお
潤って,うるお
潤お,うるお
潤え,うるお
潤わ,うるお
潤し,うるお
潤す,うるお
潤さ,うるお
潤そ,うるお
潤せ,うるお
潤み,うる
潤む,うる
潤ん,うる
潤ま,うる
潤め,うる
潤な,うる
潤色,じゅんしょく
潰し,つぶ
潰す,つぶ
潰さ,つぶ
潰そ,つぶ
潰せ,つぶ
潰れま,つぶ
潰れる,つぶ
潰れた,つぶ
潰れな,つぶ
潰れず,つぶ
潰れて,つぶ
潰れよ,つぶ
潰れら,つぶ
潰れさ,つぶ
潰れろ,つぶ
澄まし,すま
澄ます,すま
澄まさ,すま
澄まそ,すま
澄ませ,すま
澄み,す
澄む,す
澄ん,す
澄ま,す
澄め,す
澄な,す
激励,げきれい
激動,げきどう
激化,げきか
激増,げきぞう
激変,げきへん
激怒,げきど
激戦,げきせん
激昂,げっこう
激減,げきげん
激突,げきとつ
激論,げきろん
激賞,げきしょう
激闘,げきとう
濁し,にご
濁す,にご
濁さ,にご
濁そ,にご
濁せ,にご
濁り,にご
濁る,にご
濁った,にご
濁ら,にご
濁って,にご
濁ろ,にご
濁れ,にご
濁ら,にご
濃縮,のうしゅく
濡らし,ぬら
濡らす,ぬら
濡らさ,ぬら
濡らそ,ぬら
濡らせ,ぬら
濡れま,ぬ
濡れる,ぬ
濡れた,ぬ
濡れな,ぬ
濡れず,ぬ
濡れて,ぬ
濡れよ,ぬ
濡れら,ぬ
濡れさ,ぬ
濡れろ,ぬ
濫造,らんぞう
瀬踏み,せぶみ
灌漑,かんがい
火傷,やけど
火葬,かそう
灯し,とも
灯す,とも
灯さ,とも
灯そ,とも
灯せ,とも
灼熱,しゃくねつ
炊き,た
炊く,た
炊い,た
炊か,た
炊おう,た
炊け,た
炊え,た
炊事,すいじ
炎上,えんじょう
炒めま,いた
炒める,いた
炒めた,いた
炒めな,いた
炒めず,いた
炒めて,いた
炒めよ,いた
炒めら,いた
炒めさ,いた
炒めろ,いた
炒り,い
炒る,い
炒った,い
炒ら,い
炒って,い
炒ろ,い
炒れ,い
炒ら,い
炭化,たんか
炸裂,さくれつ
点き,つ
点く,つ
点い,つ
点か,つ
点おう,つ
点け,つ
点え,つ
点けま,つ
点ける,つ
点けた,つ
点けな,つ
点けず,つ
点けて,つ
点けよ,つ
点けら,つ
点けさ,つ
点けろ,つ
点呼,てんこ
点在,てんざい
点検,てんけん
点滅,てんめつ
点滴,てんてき
点火,てんか
点灯,てんとう
点訳,てんやく
為さり,な
為さる,な
為さった,な
為さら,な
為さって,な
為さろ,な
為され,な
為さら,な
為し,な
為す,な
為さ,な
為そ,な
為せ,な
為るま,す
為るる,す
為るた,す
為るな,す
為るず,す
為るて,す
為るよ,す
為るら,す
為るさ,す
為るろ,す
焚き,た
焚く,た
焚い,た
焚か,た
焚おう,た
焚け,た
焚え,た
無くし,な
無くす,な
無くさ,な
無くそ,な
無くせ,な
無くなり,な
無くなる,な
無くなった,な
無くなら,な
無くなって,な
無くなろ,な
無くなれ,な
無くなら,な
無心,むしん
無沙汰,ごぶさた
無理,むり
無理強い,むりじい
無理心中,むりしんじゅう
無視,むし
無駄遣い,むだづかい
焦がし,こが
焦がす,こが
焦がさ,こが
焦がそ,こが
焦がせ,こが
焦げま,こ
焦げる,こ
焦げた,こ
焦げな,こ
焦げず,こ
焦げて,こ
焦げよ,こ
焦げら,こ
焦げさ,こ
焦げろ,こ
焦らし,じら
焦らす,じら
焦らさ,じら
焦らそ,じら
焦らせ,じら
焦り,あせ
焦る,あせ
焦った,あせ
焦ら,あせ
焦って,あせ
焦ろ,あせ
焦れ,あせ
焦ら,あせ
焦燥,しょうそう
焼き,や
焼く,や
焼い,や
焼か,や
焼おう,や
焼け,や
焼え,や
焼けま,や
焼ける,や
焼けた,や
焼けな,や
焼けず,や
焼けて,や
焼けよ,や
焼けら,や
焼けさ,や
焼けろ,や
焼却,しょうきゃく
焼失,しょうしつ
焼死,しょうし
焼身,しょうしん
焼身自殺,しょうしんじさつ
焼香,しょうこう
煙り,けむ
煙る,けむ
煙った,けむ
煙ら,けむ
煙って,けむ
煙ろ,けむ
煙れ,けむ
煙ら,けむ
照らし,てら
照らす,てら
照らさ,てら
照らそ,てら
照らせ,てら
照り,て
照る,て
照った,て
照ら,て
照って,て
照ろ,て
照れ,て
照ら,て
照れま,て
照れる,て
照れた,て
照れな,て
照れず,て
照れて,て
照れよ,て
照れら,て
照れさ,て
照れろ,て
照会,しょうかい
照合,しょうごう
照射,しょうしゃ
照明,しょうめい
煮えま,に
煮える,に
煮えた,に
煮えな,に
煮えず,に
煮えて,に
煮えよ,に
煮えら,に
煮えさ,に
煮えろ,に
煮やし,に
煮やす,に
煮やさ,に
煮やそ,に
煮やせ,に
煮るま,に
煮るる,に
煮るた,に
煮るな,に
煮るず,に
煮るて,に
煮るよ,に
煮るら,に
煮るさ,に
煮るろ,に
煮立ち,にた
煮立つ,にた
煮立った,にた
煮立た,にた
煮立って,にた
煮立とう,にた
煮立げ,にた
煮立た,にた
煮立て,にた
煮詰まり,にづま
煮詰まる,にづま
煮詰まった,にづま
煮詰まら,にづま
煮詰まって,にづま
煮詰まろ,にづま
煮詰まれ,にづま
煮詰まら,にづま
煮詰めま,につ
煮詰める,につ
煮詰めた,につ
煮詰めな,につ
煮詰めず,につ
煮詰めて,につ
煮詰めよ,につ
煮詰めら,につ
煮詰めさ,につ
煮詰めろ,につ
煮込み,にこ
煮込む,にこ
煮込ん,にこ
煮込ま,にこ
煮込め,にこ
煮込な,にこ
煽り,あお
煽る,あお
煽った,あお
煽ら,あお
煽って,あお
煽ろ,あお
煽れ,あお
煽ら,あお
熟し,こな
熟す,こな
熟さ,こな
熟そ,こな
熟せ,こな
熟成,じゅくせい
熟睡,じゅくすい
熟知,じゅくち
熟練,じゅくれん
熟読,じゅくどく
熱する,ねっする
熱中,ねっちゅう
熱唱,ねっしょう
熱望,ねつぼう
熱演,ねつえん
熱狂,ねっきょう
燃えま,も
燃える,も
燃えた,も
燃えな,も
燃えず,も
燃えて,も
燃えよ,も
燃えら,も
燃えさ,も
燃えろ,も
燃やし,もや
燃やす,もや
燃やさ,もや
燃やそ,もや
燃やせ,もや
燃焼,ねんしょう
燥ぎ,はしゃ
燥ぐ,はしゃ
燥い,はしゃ
燥が,はしゃ
燥お,はしゃ
燥げ,はしゃ
燥え,はしゃ
燻蒸,くんじょう
爆撃,ばくげき
爆発,ばくはつ
爆破,ばくは
爆笑,ばくしょう
片付き,かたづ
片付く,かたづ
片付い,かたづ
片付か,かたづ
片付おう,かたづ
片付け,かたづ
片付え,かたづ
片付けま,かたづ
片付ける,かたづ
片付けた,かたづ
片付けな,かたづ
片付けず,かたづ
片付けて,かたづ
片付けよ,かたづ
片付けら,かたづ
片付けさ,かたづ
片付けろ,かたづ
牛耳り,ぎゅうじ
牛耳る,ぎゅうじ
牛耳った,ぎゅうじ
牛耳ら,ぎゅうじ
牛耳って,ぎゅうじ
牛耳ろ,ぎゅうじ
牛耳れ,ぎゅうじ
牛耳ら,ぎゅうじ
物忘れ,ものわすれ
物故,ぶっこ
物納,ぶつのう
物色,ぶっしょく
物語り,ものがた
物語る,ものがた
物語った,ものがた
物語ら,ものがた
物語って,ものがた
物語ろ,ものがた
物語れ,ものがた
物語ら,ものがた
特化,とっか
特売,とくばい
特定,とくてい
特注,とくちゅう
特派,とくは
特筆,とくひつ
特約,とくやく
特製,とくせい
特訓,とっくん
特記,とっき
特設,とくせつ
特赦,とくしゃ
特進,とくしん
特選,とくせん
犯し,おか
犯す,おか
犯さ,おか
犯そ,おか
犯せ,おか
狂い,くる
狂う,くる
狂った,くる
狂わ,くる
狂って,くる
狂お,くる
狂え,くる
狂わ,くる
狂乱,きょうらん
狂信,きょうしん
狂奔,きょうほん
狙い,ねら
狙う,ねら
狙った,ねら
狙わ,ねら
狙って,ねら
狙お,ねら
狙え,ねら
狙わ,ねら
狙撃,そげき
狩猟,しゅりょう
独占,どくせん
独唱,どくしょう
独奏,どくそう
独学,どくがく
独居,どっきょ
独断専行,どくだんせんこう
独演,どくえん
独白,どくはく
独立,どくりつ
独裁,どくさい
独走,どくそう
狭まり,せばま
狭まる,せばま
狭まった,せばま
狭まら,せばま
狭まって,せばま
狭まろ,せばま
狭まれ,せばま
狭まら,せばま
狭めま,せば
狭める,せば
狭めた,せば
狭めな,せば
狭めず,せば
狭めて,せば
狭めよ,せば
狭めら,せば
狭めさ,せば
狭めろ,せば
猛打,もうだ
猛攻,もうこう
猛爆,もうばく
猛省,もうせい
猛追,もうつい
猜疑,さいぎ
献上,けんじょう
献花,けんか
献血,けんけつ
献身,けんしん
献金,けんきん
猶予,ゆうよ
獲得,かくとく
率いま,ひき
率いる,ひき
率いた,ひき
率いな,ひき
率いず,ひき
率いて,ひき
率いよ,ひき
率いら,ひき
率いさ,ひき
率いろ,ひき
率先,そっせん
玉砕,ぎょくさい
現れま,あらわ
現れる,あらわ
現れた,あらわ
現れな,あらわ
現れず,あらわ
現れて,あらわ
現れよ,あらわ
現れら,あらわ
現れさ,あらわ
現れろ,あらわ
現像,げんぞう
現出,げんしゅつ
現在,げんざい
現存,げんぞん
現有,げんゆう
理解,りかい
理髪,りはつ
琢磨,たくま
環視,かんし
瓦解,がかい
瓶詰め,びんづめ
甘えま,あま
甘える,あま
甘えた,あま
甘えな,あま
甘えず,あま
甘えて,あま
甘えよ,あま
甘えら,あま
甘えさ,あま
甘えろ,あま
甘やかし,あまや
甘やかす,あまや
甘やかさ,あまや
甘やかそ,あまや
甘やかせ,あまや
甘んじま,あまん
甘んじる,あまん
甘んじた,あまん
甘んじな,あまん
甘んじず,あまん
甘んじて,あまん
甘んじよ,あまん
甘んじら,あまん
甘んじさ,あまん
甘んじろ,あまん
甘受,かんじゅ
生えま,は
生える,は
生えた,は
生えな,は
生えず,は
生えて,は
生えよ,は
生えら,は
生えさ,は
生えろ,は
生かし,いか
生かす,いか
生かさ,いか
生かそ,いか
生かせ,いか
生き,いき
生きま,い
生きる,い
生きた,い
生きな,い
生きず,い
生きて,い
生きよ,い
生きら,い
生きさ,い
生きろ,い
生けま,い
生ける,い
生けた,い
生けな,い
生けず,い
生けて,い
生けよ,い
生けら,い
生けさ,い
生けろ,い
生じる,しょうじる
生ずま,しょう
生ずる,しょう
生ずた,しょう
生ずな,しょう
生ずず,しょう
生ずて,しょう
生ずよ,しょう
生ずら,しょう
生ずさ,しょう
生ずろ,しょう
生まれま,うま
生まれる,うま
生まれた,うま
生まれな,うま
生まれず,うま
生まれて,うま
生まれよ,うま
生まれら,うま
生まれさ,うま
生まれろ,うま
生み,う
生む,う
生ん,う
生ま,う
生め,う
生な,う
生やし,はや
生やす,はや
生やさ,はや
生やそ,はや
生やせ,はや
生り,な
生る,な
生った,な
生ら,な
生って,な
生ろ,な
生れ,な
生ら,な
生中継,なまちゅうけい
生息,せいそく
生成,せいせい
生放送,なまほうそう
生殖,せいしょく
生活,せいかつ
生産,せいさん
生育,せいいく
生誕,せいたん
生還,せいかん
生長,せいちょう
産出,さんしゅつ
産卵,さんらん
用いま,もち
用いる,もち
用いた,もち
用いな,もち
用いず,もち
用いて,もち
用いよ,もち
用いら,もち
用いさ,もち
用いろ,もち
用心,ようじん
用意,ようい
用立てま,ようだ
用立てる,ようだ
用立てた,ようだ
用立てな,ようだ
用立てず,ようだ
用立てて,ようだ
用立てよ,ようだ
用立てら,ようだ
用立てさ,ようだ
用立てろ,ようだ
由来,ゆらい
申し,もう
申す,もう
申さ,もう
申そ,もう
申せ,もう
申告,しんこく
申請,しんせい
男泣き,おとこなき
男装,だんそう
画すま,かく
画する,かく
画すた,かく
画すな,かく
画すず,かく
画すて,かく
画すよ,かく
画すら,かく
画すさ,かく
画すろ,かく
画策,かくさく
畏怖,いふ
畏敬,いけい
留めま,とど
留める,とど
留めた,とど
留めな,とど
留めず,とど
留めて,とど
留めよ,とど
留めら,とど
留めさ,とど
留めろ,とど
留めま,とめ
留める,とめ
留めた,とめ
留めな,とめ
留めず,とめ
留めて,とめ
留めよ,とめ
留めら,とめ
留めさ,とめ
留めろ,とめ
留任,りゅうにん
留保,りゅうほ
留学,りゅうがく
留年,りゅうねん
留意,りゅうい
留置,りゅうち
畝り,うね
畝る,うね
畝った,うね
畝ら,うね
畝って,うね
畝ろ,うね
畝れ,うね
畝ら,うね
略し,りゃく
略す,りゃく
略さ,りゃく
略そ,りゃく
略せ,りゃく
略取,りゃくしゅ
略奪,りゃくだつ
略称,りゃくしょう
異なり,ことな
異なる,ことな
異なった,ことな
異なら,ことな
異なって,ことな
異なろ,ことな
異なれ,ことな
異なら,ことな
異動,いどう
畳み,たた
畳む,たた
畳ん,たた
畳ま,たた
畳め,たた
畳な,たた
疎外,そがい
疎通,そつう
疑い,うたが
疑う,うたが
疑った,うたが
疑わ,うたが
疑って,うたが
疑お,うたが
疑え,うたが
疑わ,うたが
疲れま,つか
疲れる,つか
疲れた,つか
疲れな,つか
疲れず,つか
疲れて,つか
疲れよ,つか
疲れら,つか
疲れさ,つか
疲れろ,つか
疲労,ひろう
疲弊,ひへい
疾走,しっそう
疾駆,しっく
病み,や
病む,や
病ん,や
病ま,や
病め,や
病な,や
病死,びょうし
痛み,いた
痛む,いた
痛ん,いた
痛ま,いた
痛め,いた
痛な,いた
痛めま,いた
痛める,いた
痛めた,いた
痛めな,いた
痛めず,いた
痛めて,いた
痛めよ,いた
痛めら,いた
痛めさ,いた
痛めろ,いた
痛惜,つうせき
痛感,つうかん
痛打,つうだ
痩せま,や
痩せる,や
痩せた,や
痩せな,や
痩せず,や
痩せて,や
痩せよ,や
痩せら,や
痩せさ,や
痩せろ,や
痺れま,しび
痺れる,しび
痺れた,しび
痺れな,しび
痺れず,しび
痺れて,しび
痺れよ,しび
痺れら,しび
痺れさ,しび
痺れろ,しび
療養,りょうよう
癒着,ゆちゃく
発する,はっする
発令,はつれい
発光,はっこう
発刊,はっかん
発券,はっけん
発効,はっこう
発声,はっせい
発売,はつばい
発奮,はっぷん
発射,はっしゃ
発展,はってん
発布,はっぷ
発情,はつじょう
発想,はっそう
発掘,はっくつ
発揮,はっき
発案,はつあん
発汗,はっかん
発泡,はっぽう
発注,はっちゅう
発火,はっか
発熱,はつねつ
発生,はっせい
発病,はつびょう
発症,はっしょう
発着,はっちゃく
発砲,はっぽう
発祥,はっしょう
発給,はっきゅう
発育,はついく
発色,はっしょく
発芽,はつが
発行,はっこう
発表,はっぴょう
発見,はっけん
発覚,はっかく
発言,はつげん
発議,はつぎ
発足,ほっそく
発車,はっしゃ
発送,はっそう
発達,はったつ
発酵,はっこう
発露,はつろ
登場,とうじょう
登壇,とうだん
登山,とざん
登庁,とうちょう
登板,とうばん
登校,とうこう
登用,とうよう
登記,とうき
登載,とうさい
登録,とうろく
