重責	じゅうせき	heavy responsibility	noun	
重量	じゅうりょう	weight, heavyweight boxer	adjective|n2|noun|taking の	
重鎮	じゅうちん	leader, authority, mainstay	noun	
野中	のなか	in the middle of a field	noun	
野人	やじん	rustic, country bumpkin, countryfolk, ruffian, unrefined person, non-politician, non-government person, civilian, Yeren, legendary mountain-dwelling hominid (similar to a sasquatch, yeti, etc.) of Chinas Hubei province	noun	
野党	やとう	opposition party, the opposition	n1|noun	
野原	のはら	field, plain, prairie, moor	noun	
野合	やごう	illicit union, collusion	intransitive verb|noun|taking する|transitive verb	
野営	やえい	camping, campground, making camp	intransitive verb|noun|taking する|transitive verb	
野外	やがい	outdoors, outside, open air, fields, outskirts, suburbs	adjective|n1|noun|taking の	
野宿	のじゅく	sleeping outdoors, sleeping out in the open air, camping	intransitive verb|noun|taking する|transitive verb	
野山	のやま	hills and fields, hill and dale	noun	
野心	やしん	ambition, aspiration, sinister designs, treachery	n1|noun	
野性	やせい	wildness (plants, animals, etc.), uncouth, rough, unpolished	adjective|noun|taking の	
野戦	やせん	field battle, field operations, open battle, battlefield, battlefront	military|noun	
野手	やしゅ	fielder	noun	
野暮	やぼ	boorish, unsophisticated, unrefined, uncouth, tasteless, insensitive, thoughtless, dumb	adjective|noun|な adjective	
野望	やぼう	ambition, aspiration	noun	
野末	のずえ	corners of a field	noun	
野犬	やけん	stray dog, ownerless dog	noun	
野獣	やじゅう	wild beast, wild animal, brute	noun	
野球	やきゅう	baseball	noun	
野生	やせい	wild, growing wild, living in the wild, I	adjective|male term|n1|noun|pronoun|taking する|taking の	
野良	のら	field, farm, stray (dog, cat, etc.), stranger (in an online multiplayer game), random player, playing with strangers	noun|slang	
野草	のぐさ	wild grasses, field grass, wildflowers	noun	
野菊	のぎく	wild chrysanthemum, aster	noun	
野菜	やさい	vegetable	n5|noun	
野蛮	やばん	savage, barbarous, barbaric, uncivilized, uncivilised	adjective|noun|な adjective	
野辺	のべ	field	noun	
野道	のみち	path in a field	noun	
野郎	やろう	guy, fellow, chap, buddy, bastard, asshole, arsehole, son of a bitch	derogatory|male term|noun|pronoun|slang	
野鳥	やちょう	wild bird	noun	
量り	はかり	measurements, weighing	noun	
量刑	りょうけい	judges sentence, assessment of a case	intransitive verb|noun|taking する|transitive verb	
量子	りょうし	quantum	adjective|noun|taking の	
量感	りょうかん	voluminous, massive, bulky	noun	
量産	りょうさん	mass production	noun|taking する|transitive verb	
量的	りょうてき	quantitative, concerning the quantity	adjective|な adjective	
金具	かなぐ	metal fittings, metal fixtures	noun	
金利	きんり	interest rate, interest	noun	
金券	きんけん	gold certificate, tradeable coupon redeemable for goods or services	noun	
金剛	こんごう	vajra (indestructible substance), diamond, adamantine, thunderbolt, Indras weapon, Buddhist symbol of the indestructible truth	noun	
金品	きんぴん	money and goods	noun	
金城	きんじょう	impregnable castle, inner castle citadel, golden castle (nickname for Nagoya Castle)	noun	
金堂	こんどう	main temple structure (sanctuary, hall)	noun	
金塊	きんかい	gold nugget, gold bullion, gold bar, gold ingot	noun	
金属	きんぞく	metal	n3|noun	
金山	きんざん	gold mine	noun	
金工	きんこう	metalwork, metalsmith, goldsmith	noun	
金平	きんぴら	chopped burdock root (and sometimes carrot) cooked in sugar and soy sauce	kana|noun	
金庫	きんこ	safe, strongbox, cashbox, vault, strongroom, depository, cash office, treasury, provider of funds	n3|noun	
金星	きんせい	Venus (planet)	noun	
金星	きんぼし	dazzling victory, win of a rank-and-file wrestler over the grand champion	noun	
金曜	きんよう	Friday	adverb|n3|noun	
金槌	かなづち	hammer, hopeless swimmer, person who cant swim, someone who sinks like a stone	kana|n1|noun	
金権	きんけん	power of money, financial influence	adjective|noun|taking の	
金物	かなもの	metal utensil, ironware, metal fittings, hardware	noun	
金目	かねめ	monetary value	adjective|noun|taking の	
金石	きんせき	minerals and rocks, metal and stone utensils, epigraph	noun	
金策	きんさく	(means of) raising money	intransitive verb|noun|taking する|transitive verb	
金箔	きんぱく	gold leaf, gold foil, beaten gold	noun	
金糸	きんし	gold thread	noun	
金網	かなあみ	wire netting, wire mesh, wire screen, chain-link mesh	noun	
金脈	きんみゃく	vein of gold, financial connections, patron, source of money	noun	
金色	きんいろ	gold (colour, color)	adjective|noun|taking の	
金融	きんゆう	finance, financing, credit transacting, loaning of money, circulation of money, monetary, financial, credit	adjective|n3|noun|taking の	
金製	きんせい	made of gold	adjective|noun|taking の	
金貨	きんか	gold coin	noun	
金鉱	きんこう	gold ore, gold deposit, gold mine	noun	
金銀	きんぎん	gold and silver, money	noun	
金銭	きんせん	money, cash	adjective|n3|noun|taking の	
金額	きんがく	amount of money, sum of money	n3|noun	
金髪	きんぱつ	blond hair, blonde hair, golden hair	adjective|noun|taking の	
金魚	きんぎょ	goldfish (Carassius auratus)	n2|noun	
針路	しんろ	course, direction	n2|noun	
針金	はりがね	wire	n2|noun	
釣り	つり	fishing, angling, change (for a purchase), clickbaiting, trolling, writing deliberately inflammatory posts online	kana|n3|noun|slang|taking する	
釣る	つる	to fish, to angle, to catch, to lure in, to tempt, to attract, to entice, to allure	godan verb|n4|transitive verb	
釣具	つりぐ	fishing gear, fishing tackle	noun	
釣鐘	つりがね	temple bell, hanging bell, funeral bell	n1|noun	
鈍い	にぶい	dull (e.g. a knife), blunt, thickheaded, obtuse, stupid, dull (sound, color, etc.), dim (light), slow, sluggish, inert, lethargic, insensitive, dull (e.g. reflexes), unperceptive, unfeeling	adjective|い adjective	
鈍い	のろい	thickheaded, obtuse, stupid, slow, sluggish, inert, lethargic, indulgent (esp. to the opposite sex), doting	adjective|kana|n2|い adjective	
鈍る	にぶる	to become blunt, to grow dull, to become less capable, to weaken, to falter	godan verb|intransitive verb|n1|transitive verb	
鈍化	どんか	becoming dull, slowing down	intransitive verb|noun|taking する|transitive verb	
鈍器	どんき	blunt weapon	noun	
鈍感	どんかん	thickheaded, insensitive, dull, thick-skinned	adjective|n1|noun|な adjective	
鈍行	どんこう	local train, slow train	noun	
鈍間	のろま	blockhead, dunce, dimwit, dolt, slowcoach, slowpoke	adjective|kana|noun|な adjective	
鉄人	てつじん	iron man, strong man, (steel-clad) robot	noun	
鉄分	てつぶん	iron (content)	noun	
鉄則	てっそく	ironclad rule, inviolable rule, invariable principle, iron law	noun	
鉄塔	てっとう	steel tower, electricity pylon, transmission tower	noun	
鉄壁	てっぺき	iron wall, impregnable fortress, impregnable, invulnerable, unassailable, cast-iron	adjective|noun|taking の	
鉄工	てっこう	ironworking, ironworker	noun	
鉄板	てっぱん	iron plate, steel plane, sure thing, certain winner	colloquial|noun	
鉄柱	てっちゅう	iron pole	noun	
鉄棒	てつぼう	iron rod, iron bar, iron club, horizontal bar (gymnastics)	noun	
鉄橋	てっきょう	railway bridge, iron bridge	n2|noun	
鉄火	てっか	red-hot iron, gunfire, gambling, violent-tempered	adjective|noun|な adjective	
鉄砲	てっぽう	gun, wooden pole that wrestlers strike in practice, puffer fish	colloquial|n2|noun	
鉄筋	てっきん	rebar, (iron) reinforcing bar, reinforcing steel, reinforced concrete	noun	
鉄線	てっせん	iron (steel) wire, Chinese clematis, Clematis florida, leather flower	noun	
鉄腕	てつわん	strong arm	noun	
鉄製	てっせい	made of iron	adjective|noun|taking の	
鉄道	てつどう	railroad, railway, rail transport	n3|noun	
鉄鉱	てっこう	iron ore	noun	
鉄鋼	てっこう	iron and steel	n1|noun	
鉄骨	てっこつ	steel frame, steel beam, steel girder	noun	
鉛筆	えんぴつ	pencil	n5|noun	
鉢巻	はちまき	headband	kana|noun|taking する	
鉱区	こうく	mining area, mine lot	noun	
鉱山	こうざん	mine (ore)	n1|noun	
鉱床	こうしょう	mineral deposit, ore deposit	noun	
鉱業	こうぎょう	mining industry	n1|noun	
鉱毒	こうどく	mine pollution	noun	
鉱物	こうぶつ	mineral	n2|noun	
鉱石	こうせき	ore, mineral, crystal	noun	
鉱脈	こうみゃく	vein (of ore), reef, streak, lode	noun	
銀幕	ぎんまく	(projection) screen, the silver screen, the film world, movies	noun	
銀座	ぎんざ	Ginza (Tokyo neighborhood), busy shopping district, bustling location, silver mint (Edo period)	noun	
銀杯	ぎんぱい	silver cup	noun	
銀河	ぎんが	Milky Way, galaxy	noun	
銀盤	ぎんばん	skating rink, ice surface, silver plate	noun	
銀紙	ぎんがみ	aluminum foil, aluminium foil, tinfoil, silver paper, silver-colored paper	noun	
銀色	ぎんいろ	silver (color, colour)	adjective|noun|taking の	
銀行	ぎんこう	bank, banking institution	n5|noun	
銀製	ぎんせい	made of silver	adjective|noun|taking の	
銀貨	ぎんか	silver coin	noun	
銃剣	じゅうけん	bayonet, guns and swords	noun	
銃口	じゅうこう	gun point, muzzle	noun	
銃器	じゅうき	small arms	noun	
銃声	じゅうせい	sound of a gunshot, report of a gun	noun	
銃弾	じゅうだん	bullet (from a rifle)	noun	
銃撃	じゅうげき	shooting, gunning (down)	noun|taking する|transitive verb	
銃殺	じゅうさつ	death by shooting	noun|taking する|transitive verb	
銃火	じゅうか	gunfire	noun	
銃砲	じゅうほう	guns, firearms	noun	
銃身	じゅうしん	gun barrel	noun	
銅像	どうぞう	bronze statue	noun	
銅山	どうざん	copper mine	noun	
銅板	どうばん	sheet copper	noun	
銅線	どうせん	copper line, copper wire	noun	
銅貨	どうか	copper coin	n3|noun	
銅鐸	どうたく	bell-shaped bronze vessel of Yayoi period	noun	
銅鑼	どら	gong, tam-tam	kana|noun	
銑鉄	せんてつ	pig iron	noun	
銘々	めいめい	each, individual	adjective|adverb|kana|n2|noun|taking の	
銘文	めいぶん	inscription	noun	
銘柄	めいがら	brand, make, description, trading name of stocks and securities	noun	
銘記	めいき	keep in mind, take note of, remember	noun|taking する|transitive verb	
銚子	ちょうし	(sake) decanter	noun	
銭湯	せんとう	public bath, bathhouse	noun	
鋭い	するどい	sharp (knife, claws, etc.), pointed, sharp (pain, tone, etc.), acute, stabbing, cutting (remark, criticism, etc.), stinging, biting, fierce (attack), pointed (question, look, etc.), piercing (gaze), shrill (sound), keen (intuition, sense of smell, etc.), acute, sharp (eye, mind, etc.), astute, shrewd, discerning, penetrating (insight, question, etc.), perceptive	adjective|n3|い adjective	
鋭利	えいり	sharp, keen, acute	adjective|noun|な adjective	
鋭意	えいい	eagerly, earnestly, assiduously, diligently, wholeheartedly	adverb|noun	
鋭敏	えいびん	sharp, keen, acute	adjective|noun|な adjective	
鋭角	えいかく	acute angle	noun	
鋳る	いる	to cast, to mint, to coin	transitive verb	
鋳型	いがた	mold, mould, template	noun	
鋳物	いもの	casting, cast-metal object	noun	
鋳造	ちゅうぞう	casting, founding, minting	noun|taking する|transitive verb	
鋼材	こうざい	steel material	noun	
鋼板	こうはん	steel sheet, steel plate	noun	
鋼管	こうかん	steel pipe	noun	
鋼鉄	こうてつ	steel	noun	
錠剤	じょうざい	pill, lozenge, tablet	noun	
錦絵	にしきえ	nishiki-e, multi-colour woodblock print	noun	
錯乱	さくらん	confusion, distraction, derangement	intransitive verb|noun|taking する|transitive verb	
錯綜	さくそう	complication, intricacy, involution, to become complicated, to get entangled	intransitive verb|noun|taking する|transitive verb	
錯覚	さっかく	optical illusion, hallucination, misapprehension, delusion	adjective|n1|noun|taking する|taking の|transitive verb	
錯誤	さくご	mistake, error, discrepancy, discrepancy between ones actions and intentions	n1|noun	
録画	ろくが	(video) recording	noun|taking する|transitive verb	
録音	ろくおん	(audio) recording	n2|noun|taking する|transitive verb	
錻力	ブリキ	tin plate	kana|noun	
鍋物	なべもの	stew, food cooked in a pot	noun	
鍛錬	たんれん	tempering (metal), annealing, forging, toughening, disciplining, training	noun|taking する	
鍵盤	けんばん	keyboard (of a piano, typewriter, etc.)	noun	
鍼灸	しんきゅう	acupuncture and moxibustion	noun	
鎌倉	かまくら	Kamakura (city)	noun	
鎖国	さこく	national isolation, closing the country (to foreigners), sakoku, policy of national isolation enacted by the Tokugawa shogunate	noun|taking する	
鎖骨	さこつ	collarbone, clavicle	noun	
鎮圧	ちんあつ	suppression (of a riot, revolt, etc.), repression, putting down, quelling	noun|taking する|transitive verb	
鎮守	ちんじゅ	local Shinto deity, tutelary god	noun	
鎮定	ちんてい	suppression (e.g. of a rebellion), pacification	intransitive verb|noun|taking する|transitive verb	
鎮座	ちんざ	enshrinement	intransitive verb|noun|taking する|transitive verb	
鎮火	ちんか	extinguishing, dying out (of a fire), putting out	intransitive verb|noun|taking する|transitive verb	
鎮静	ちんせい	calm, quiet, tranquility, tranquillity, appeasement, pacification	adjective|intransitive verb|noun|taking する|taking の|transitive verb	
鎮魂	ちんこん	repose of a soul, ceremony for the repose of a departed soul	noun|taking する|transitive verb	
鏡台	きょうだい	dresser	noun	
鏡面	きょうめん	mirror surface, lens surface	noun	
鐘楼	しょうろう	belfry, bell tower	noun	
鑑別	かんべつ	discrimination, judgement, judgment, separation, sorting	adjective|noun|taking する|taking の|transitive verb	
鑑定	かんてい	judgement, judgment, expert opinion, appraisal	adjective|noun|taking する|taking の|transitive verb	
鑑識	かんしき	judgement, judgment, discernment, discrimination, having an eye for, appraisal (e.g. of an antique), evaluation, assessment, forensics, (criminal) identification, crime lab	noun|taking する|transitive verb	
鑑賞	かんしょう	appreciation (of art, music, poetry, etc.)	n2|noun|taking する|transitive verb	
長々	ながなが	for a long time, at (great) length, lengthily, long-windedly, tediously, (extending) far, (stretching) out, (lying down) at full length	adverb|n1|taking と	
長い	ながい	long (distance, length), long (time), protracted, prolonged	adjective|n5|い adjective	
長さ	ながさ	length	noun	
長久	ちょうきゅう	permanence, perpetuity, Chōkyū era (1040.11.10-1044.11.24)	noun	
長兄	ちょうけい	eldest brother	noun	
長命	ちょうめい	long life	adjective|noun|taking の|な adjective	
長唄	ながうた	long epic song with shamisen accompaniment (developed in Edo in the early 17th century)	noun	
長大	ちょうだい	long and large, tall and large, grand, huge	adjective|n1|noun|な adjective	
長女	ちょうじょ	eldest daughter, first-born daughter	n2|noun	
長子	ちょうし	eldest child, oldest child, first child, eldest son, oldest son	noun	
長官	ちょうかん	secretary (government), director, chief	n1|noun	
長寿	ちょうじゅ	long life, longevity	adjective|noun|taking の	
長居	ながい	long visit, overstaying	intransitive verb|noun|taking する|transitive verb	
長屋	ながや	tenement house, row house	noun	
長崎	ながさき	Nagasaki (city, prefecture)	noun	
長年	ながねん	long time, many years	adverb|noun	
長幼	ちょうよう	young and old	noun	
長征	ちょうせい	lengthy military expedition, Long March (China, 1934-1936), Long March (series of Chinese launch vehicles)	noun|taking する	
長径	ちょうけい	major axis	noun	
長所	ちょうしょ	strong point, merit, virtue, advantage	n2|noun	
長打	ちょうだ	long hit, slugging, extra-base hit	intransitive verb|noun|taking する|transitive verb	
長文	ちょうぶん	long sentence, long piece of writing (e.g. passage, letter, article, telegram)	adjective|noun|taking の	
長期	ちょうき	long-term	adjective|n3|noun|taking の	
長柄	ながえ	long handle, long-handled spear, long shaft	noun	
長江	ちょうこう	Yangtze River, Changjiang River	noun	
長生	ちょうせい	longevity	intransitive verb|noun|taking する|transitive verb	
長男	ちょうなん	eldest son (may be the only son), first-born son	n2|noun	
長短	ちょうたん	(relative) length, advantages and disadvantages, pluses and minuses, strong and weak points, merits and demerits	n2|noun	
長編	ちょうへん	long (e.g. novel, film)	adjective|n1|noun|taking の	
長老	ちょうろう	elder, senior, senior monk, dean, presbyter, patriarch	adjective|noun|taking の	
長者	ちょうじゃ	millionaire, ones superior, ones elder, ones senior, virtuous and gentle person, female owner of a whorehouse in a post town, chief of a post town	noun	
長袖	ながそで	long sleeves	adjective|noun|taking の	
長話	ながばなし	long talk	intransitive verb|noun|taking する|transitive verb	
長調	ちょうちょう	major key	adjective|noun|taking の	
長身	ちょうしん	tall figure, high stature	adjective|noun|taking の	
長閑	のどか	tranquil, calm, quiet, peaceful, serene, mild (weather), balmy	adjective|kana|n1|な adjective	
長雨	ながあめ	long spell of rain	noun	
長靴	ながぐつ	leather boots, rubber boots, wellingtons, wellies, long boots, high boots	noun	
長髪	ちょうはつ	long hair	adjective|noun|taking の	
門下	もんか	ones pupil, ones student, ones follower	noun	
門出	かどで	setting off (on a long journey), setting out, departure (e.g. for the front), leaving home, starting a new life, starting life anew	intransitive verb|noun|taking する|transitive verb	
門前	もんぜん	before the gate, in front of the gate	noun	
門外	もんがい	outside a gate, beyond ones area of expertise	noun	
門徒	もんと	follower (of religion; esp. Jōdo Shinshū practitioners), believer	noun	
門戸	もんこ	door	noun	
門扉	もんぴ	door(s) of a gate	noun	
門松	かどまつ	New Years pine decoration	noun	
門柱	もんちゅう	gatepost, pier	noun	
門番	もんばん	gatekeeper, door guard, doorman, concierge, janitor	noun	
門限	もんげん	closing time, lockup, curfew	noun	
閃く	ひらめく	to flash (e.g. lightning), to flicker, to glitter, to sparkle, to gleam, to flutter (e.g. flag), to wave, to undulate, to flash into ones mind (e.g. an idea), to come to one suddenly	godan verb|intransitive verb|kana|transitive verb	
閉会	へいかい	closure (of a ceremony, event, meeting, etc.)	intransitive verb|n2|noun|taking する|transitive verb	
閉口	へいこう	to be stumped, to be at a loss, to be at ones wits end, to be nonplussed, to be fed up, to be tired (of), to be unable to bear, to be annoyed	adjective|intransitive verb|n1|noun|taking する|transitive verb|な adjective	
閉塞	へいそく	blockage, blockade, blocking up, stoppage, obstruction, occlusion	intransitive verb|noun|taking する|transitive verb	
閉山	へいざん	ending the climbing season, closure of a mountain to climbers, closing a mine, discontinuation of mining	intransitive verb|noun|taking する|transitive verb	
閉幕	へいまく	falling of the curtain, (coming to an) end, close	intransitive verb|noun|taking する|transitive verb	
閉店	へいてん	closing up shop (for the day), stopping business, going out of business	intransitive verb|noun|taking する|transitive verb	
閉廷	へいてい	adjourning court	intransitive verb|noun|taking する|transitive verb	
閉校	へいこう	closing a school (for the day), closing a school (permanently), shutting down a school	intransitive verb|noun|taking する|transitive verb	
閉経	へいけい	menopause	noun	
閉鎖	へいさ	closing, closure, shutdown, lockout	n1|noun|taking する|transitive verb	
閉館	へいかん	closing (for the day; of a library, museum, cinema, etc.), closing down (of a library, museum, cinema, etc.)	intransitive verb|noun|taking する|transitive verb	
開き	ひらき	opening, gap, dried and opened fish	noun|suffix	
開く	あく	to open (e.g. doors), to open (e.g. business, etc.), to be empty, to be vacant, to be available, to be free, to be open (e.g. neckline, etc.), to have been opened (of ones eyes, mouth, etc.), to come to an end, to open (ones eyes, mouth, etc.), to have a hole, to form a gap, to have an interval (between events)	godan verb|intransitive verb|n5|transitive verb	
開く	ひらく	to open, to undo, to unseal, to unpack, to bloom, to unfold, to spread out, to open (for business, e.g. in the morning), to be wide (gap, etc.), to widen, to hold (meeting, party, etc.), to give, to open, to found (nation, dynasty, sect, etc.), to open (a new business), to set up, to establish, to start, to open (ports, borders, etc.), to open (an account), to open up (new land, path, etc.), to clear, to develop, to open (a file, etc.), to extract (root), to reduce (equation), to cut open (fish), to change (kanji into hiragana), to flare (e.g. skirt), to slacken (into a poor posture)	computing|godan verb|intransitive verb|n4|transitive verb	
開会	かいかい	opening of a meeting	intransitive verb|n2|noun|taking する|transitive verb	
開催	かいさい	holding (a conference, exhibition, etc.), opening, hosting (e.g. the Olympics)	n1|noun|taking する|transitive verb	
開口	かいこう	opening, aperture (e.g. camera), opening ones mouth, beginning to speak, open, broad	adjective|noun|taking する	
開国	かいこく	founding a country, opening of a country (e.g. Japan) to the world, ending (a policy of) national seclusion	intransitive verb|noun|taking する|transitive verb	
開園	かいえん	opening of a park (theme park, botanical garden etc.)	intransitive verb|noun|taking する|transitive verb	
開城	かいじょう	surrender of a castle, surrender of a fortress, capitulation of a stronghold	intransitive verb|noun|taking する|transitive verb	
開場	かいじょう	opening (the doors of a venue), inauguration (of a new building, facility, etc.)	intransitive verb|noun|taking する|transitive verb	
開墾	かいこん	cultivating new land, clearing, reclamation	noun|taking する|transitive verb	
開始	かいし	start, commencement, beginning, initiation	intransitive verb|n3|noun|taking する|transitive verb	
開封	かいふう	opening (a letter, parcel, etc.), breaking the seal, unboxing (a product), unsealed mail	noun|taking する|transitive verb	
開局	かいきょく	opening (of a broadcasting station, post office, bureau, etc.), establishment	intransitive verb|noun|taking する|transitive verb	
開山	かいさん	founding a temple (on a hill-top)	noun|taking する	
開幕	かいまく	raising the curtain, opening (of an event), start, beginning	intransitive verb|noun|taking する|transitive verb	
開店	かいてん	opening a new shop, opening a shop (for the day)	intransitive verb|noun|taking する|transitive verb	
開廷	かいてい	court session, trial	intransitive verb|noun|taking する|transitive verb	
開戦	かいせん	outbreak of war, starting a war	intransitive verb|noun|taking する|transitive verb	
開所	かいしょ	opening (of a new office, facility, etc.)	intransitive verb|noun|taking する|transitive verb	
開拓	かいたく	reclamation (e.g. of wasteland), cultivation, development, pioneering, opening up (e.g. of a new market), breaking new ground, trailblazing	n1|noun|taking する|transitive verb	
開放	かいほう	opening (a door, window, etc.), leaving open, opening up (e.g. to the public), allowing (public) access	n2|noun|taking する|transitive verb	
開明	かいめい	civilization, civilisation, enlightenment	intransitive verb|noun|taking する|transitive verb	
開校	かいこう	opening a school	intransitive verb|noun|taking する|transitive verb	
開業	かいぎょう	opening a business, opening a practice	intransitive verb|noun|taking する|transitive verb	
開港	かいこう	opening a port (seaport, airport, etc.), starting operations at a port, opening a port to foreign vessels or trade	intransitive verb|noun|taking する|transitive verb	
開演	かいえん	curtain raising, starting (e.g. play, concert)	intransitive verb|noun|taking する|transitive verb	
開発	かいはつ	development, exploitation (of resources)	n1|noun|taking する|transitive verb	
開眼	かいがん	enlightenment, spiritual awakening, opening ones eyes to the truth, reaching ones peak (as a performer, etc.), reaching the highest echelons, gaining eyesight, restoring eyesight, opening the eyes, filling out the eyes (of a Buddha) as the last step of consecrating a new statue or picture, ceremony where a newly made image or idol is consecrated	intransitive verb|noun|taking する|transitive verb	
開示	かいじ	release (e.g. information), disclosure (legal), show, indication, display	noun|taking する|transitive verb	
開祖	かいそ	(sect) founder, apostle, originator, inventor	noun	
開票	かいひょう	counting ballots, tally (of votes)	intransitive verb|noun|taking する|transitive verb	
開腹	かいふく	making a surgical incision in the abdomen	intransitive verb|noun|taking する|transitive verb	
開花	かいか	flowering, blooming, blossoming, coming into bloom, flowering (of a civilization, talent, etc.), blossoming, blooming, bearing fruit (of efforts)	intransitive verb|noun|taking する|transitive verb	
開設	かいせつ	establishment, opening, setting up, inauguration	noun|taking する|transitive verb	
開講	かいこう	start of a course, start of lectures, opening of a new course, offering a course (for the first time)	intransitive verb|noun|taking する|transitive verb	
開通	かいつう	opening (of a new road, railway, etc.), going into operation (e.g. telephone communication), beginning services, reopening (e.g. of a road to traffic), resumption of services	intransitive verb|n2|noun|taking する|transitive verb	
開運	かいうん	better fortune	noun	
開門	かいもん	opening gate	intransitive verb|noun|taking する|transitive verb	
開閉	かいへい	opening and shutting, opening and closing	intransitive verb|noun|taking する|transitive verb	
開館	かいかん	opening (for that days business; of a library, museum, cinema, etc.), opening (of a new library, museum, cinema, etc.)	intransitive verb|noun|taking する|transitive verb	
閏年	うるうどし	leap year	adjective|noun|taking の	
閑散	かんさん	deserted (esp. store, market, town, streets), quiet, still, hushed, empty, inactive (business, trade, etc.), slack, flat, off-season, quiet, dull, idle, free, unoccupied	adjective|noun|taking と|な adjective	
閑静	かんせい	quiet (e.g. neighbourhood), peaceful, tranquil	adjective|noun|な adjective	
間中	あいだじゅう	during	noun	
間伐	かんばつ	periodic thinning (e.g. forest)	noun|taking する|transitive verb	
間口	まぐち	frontage, width (of a building, plot of land, etc.), breadth (e.g. of ones knowledge), scope (e.g. of ones work), range	noun	
間接	かんせつ	indirection, indirectness	adjective|n2|noun|taking の	
間数	けんすう	number of ken (in length or breadth)	noun	
間断	かんだん	break in time, interruption, pause	noun	
間柄	あいだがら	relationship, relation, terms (good, friendly, etc.)	n1|noun	
間近	まぢか	near, close (to), nearby, (drawing) near, approaching, almost here, just around the corner	adjective|kana|noun|な adjective	
間隔	かんかく	space, interval, space character, whitespace	computing|n2|noun	
間際	まぎわ	the point just before ..., the point of (doing), the verge (of), the eve (of), (just before the) edge	noun	
間食	かんしょく	eating between meals, snacking	intransitive verb|noun|taking する|transitive verb	
関与	かんよ	participation, taking part in, participating in, being concerned in	intransitive verb|n1|noun|taking する|transitive verb	
関係	かんけい	relation, relationship, connection, participation, involvement, concern, influence, effect, sexual relations, sexual relationship, related to, connected to	intransitive verb|n4|noun|taking する|transitive verb	
関取	せきとり	ranking wrestler in the makuuchi (senior-grade) or juryo (junior-grade) divisions	noun	
関心	かんしん	concern, interest	n3|noun	
関白	かんぱく	chief advisor to the Emperor (adviser)	noun	
関知	かんち	(ones) concern, having (something) to do with	intransitive verb|noun|taking する|transitive verb	
関税	かんぜい	tariff (import tax), duty, customs	n1|noun	
関節	かんせつ	joint (knee, elbow, etc.)	noun	
関脇	せきわけ	wrestler of the third highest rank	noun	
関西	かんさい	Kansai, region consisting of Osaka, Kobe, Kyoto and surrounding prefectures, Kansai, south-western half of Japan (during the feudal era)	n2|noun	
関連	かんれん	relation, connection, relevance	intransitive verb|n3|noun|taking する|transitive verb	
関門	かんもん	barrier, checkpoint, gateway, hurdle, obstacle, trial	noun	
閣下	かっか	your Excellency, his Excellency, her Excellency	honorific|noun	
閣僚	かくりょう	cabinet ministers	noun	
閣内	かくない	(inside the) Cabinet	adjective|noun|taking の	
閣外	かくがい	outside the Cabinet	adjective|noun|taking の	
閣議	かくぎ	cabinet meeting	noun	
閲覧	えつらん	inspection, reading, perusal, browsing (the web)	n1|noun|taking する|transitive verb	
閾値	いきち	threshold (amount, dose, etc.)	noun	
闊達	かったつ	openhearted, frank, broad-minded	adjective|noun|な adjective	
闘争	とうそう	fight, battle, combat, conflict, struggle (for rights, higher wages, etc.), strife, (labor) dispute, strike	intransitive verb|noun|taking する|transitive verb	
闘士	とうし	fighter (for), militant, champion (of), boxer	noun	
闘志	とうし	fighting spirit, (will to) fight	noun	
闘牛	とうぎゅう	bullfighting, bullfight, fighting bull	noun	
闘病	とうびょう	fighting against an illness	intransitive verb|noun|taking する|transitive verb	
阪神	はんしん	Osaka-Kobe, Hanshin (company name: railway, dept. store, baseball team, etc.)	noun	
防ぐ	ふせぐ	to defend against, to protect against, to prevent, to avert, to avoid	godan verb|n3|transitive verb	
防寒	ぼうかん	protection against cold	noun	
防弾	ぼうだん	bulletproof, bombproof	adjective|noun|taking の	
防御	ぼうぎょ	defense, defence, safeguard, protection	noun|taking する|transitive verb	
防戦	ぼうせん	defensive fight (battle)	intransitive verb|noun|taking する|transitive verb	
防止	ぼうし	prevention, check	n2|noun|taking する|transitive verb	
防毒	ぼうどく	gasproofing	noun	
防水	ぼうすい	waterproofing, making watertight	adjective|noun|taking する|taking の|transitive verb	
防火	ぼうか	fire prevention, fire fighting, fire proof	adjective|n1|noun|taking する|taking の	
防災	ぼうさい	disaster preparedness, prevention of damage resulting from a natural disaster, protection against disaster	noun	
防犯	ぼうはん	prevention of crime, security (device, camera, etc.)	adjective|n2|noun|taking の	
防疫	ぼうえき	communicable disease control (e.g. by quarantine, disinfection, etc.), prevention of epidemics	noun	
防空	ぼうくう	air defense, air defence	noun	
防腐	ぼうふ	preservation from decay, prevention of putrefaction, embalmment, antisepsis	noun	
防臭	ぼうしゅう	odor-resistant, odour-resistant	noun	
防虫	ぼうちゅう	protection from insects, insect repellence	noun|taking する	
防衛	ぼうえい	defense, defence, protection	n1|noun|taking する|transitive verb	
防護	ぼうご	protection	adjective|noun|taking する|taking の|transitive verb	
防除	ぼうじょ	prevention (of plant disease and insect damage), (pest) control, extermination (of harmful insects), protection (against natural disasters)	noun|taking する|transitive verb	
防音	ぼうおん	soundproofing	adjective|intransitive verb|noun|taking する|taking の|transitive verb	
阻む	はばむ	to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart	godan verb|n1	
